"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16"
"56","b",23.33,11.625,"y","p","w","v",0.835,"t","f",0,"t","g",160,300,"+"
"57","b",23.17,0,"u","g","cc","v",0.085,"t","f",0,"f","g",0,0,"+"
"58","b",44.33,0.5,"u","g","i","h",5,"t","f",0,"t","g",320,0,"+"
"59","b",35.17,4.5,"u","g","x","h",5.75,"f","f",0,"t","s",711,0,"+"
"60","b",43.25,3,"u","g","q","h",6,"t","t",11,"f","g",80,0,"+"
"61","b",56.75,12.25,"u","g","m","v",6.35956927246977,"t","t",4,"t","g",200,0,"+"
"62","b",31.67,16.165,"u","g","d","v",3,"t","t",9,"f","g",250,730,"+"
"63","a",23.42,0.79,"y","p","q","v",1.5,"t","t",2,"t","g",80,400,"+"
"64","a",20.42,0.835,"u","g","q","v",1.585,"t","t",1,"f","g",0,0,"+"
"65","b",26.67,4.25,"u","g","cc","v",0.89730450329477,"t","t",1,"t","g",120,0,"+"
"66","b",34.17,1.54,"u","g","cc","v",1.54,"t","t",1,"t","g",520,50000,"+"
"67","a",36,1,"u","g","c","v",2,"t","t",11,"f","g",0,456,"+"
"68","b",25.5,0.375,"u","g","m","v",0.25,"t","t",3,"f","g",260,15108,"+"
"69","b",19.42,6.5,"u","g","w","h",1.46,"t","t",7,"f","g",80,2954,"+"
"70","b",35.17,25.125,"u","g","x","h",1.625,"t","t",1,"t","g",515,500,"+"
"71","b",32.33,7.5,"u","g","e","bb",1.585,"t","f",0,"t","s",420,0,"-"
"72","a",38.58,5,"u","g","cc","v",13.5,"t","f",0,"t","g",980,0,"-"
"73","b",44.25,0.5,"u","g","m","v",10.75,"t","f",0,"f","s",400,0,"-"
"74","b",44.83,7,"y","p","c","v",5.2405333001213,"f","f",0,"f","g",160,2,"-"
"75","b",20.67,5.29,"u","g","q","v",0.375,"t","t",1,"f","g",160,0,"-"
"76","b",34.08,6.5,"u","g","aa","v",0.736691508249979,"t","f",0,"t","g",443,0,"-"
"77","a",19.17,0.585,"y","p","aa","v",1.42284399733194,"t","f",0,"t","g",160,0,"-"
"78","b",21.67,1.165,"y","p","k","v",2.5,"t","t",1,"f","g",180,20,"-"
"79","b",21.5,9.75,"u","g","c","v",0.25,"t","f",0,"f","g",140,0,"-"
"80","b",49.58,19,"u","g","ff","ff",0,"t","t",1,"f","g",94,0,"-"
"81","a",27.67,1.5,"u","g","m","v",0.991878391731471,"t","f",0,"f","s",368,0,"-"
"82","b",39.83,0.5,"u","g","m","v",3.38695899548272,"t","f",0,"f","s",288,0,"-"
"83","b",27.25,0.625,"u","g","aa","v",0.455,"t","f",0,"t","g",200,0,"-"
"84","b",37.17,4,"u","g","c","bb",1.92866441703616,"t","f",0,"t","s",280,0,"-"
"85","b",25.67,2.21,"y","p","aa","v",4,"t","f",0,"f","g",188,0,"-"
"86","b",34,4.5,"u","g","aa","v",1,"t","f",0,"t","g",240,0,"-"
"87","a",49,1.5,"u","g","j","j",0,"t","f",0,"t","g",100,27,"-"
"88","b",62.5,12.75,"y","p","c","h",5,"t","f",0,"f","g",112,0,"-"
"89","b",31.42,15.5,"u","g","c","v",0.5,"t","f",0,"f","g",120,0,"-"
"90","b",52.33,1.375,"y","p","c","h",9.46,"t","f",0,"t","g",200,100,"-"
"91","b",28.75,1.5,"y","p","c","v",1.5,"t","f",0,"t","g",0,225,"-"
"92","a",28.58,3.54,"u","g","i","bb",0.5,"t","f",0,"t","g",171,0,"-"
"93","b",23,0.625,"y","p","aa","v",0.125,"t","f",0,"f","g",180,1,"-"
"94","a",22.5,11,"y","p","q","v",3,"t","f",0,"t","g",268,0,"-"
"95","a",28.5,1,"u","g","q","v",1,"t","t",2,"t","g",167,500,"-"
"96","b",37.5,1.75,"y","p","c","bb",0.25,"t","f",0,"t","g",164,400,"-"
"97","b",35.25,16.5,"y","p","c","v",4,"t","f",0,"f","g",80,0,"-"
"98","b",18.67,5,"u","g","q","v",0.375,"t","t",2,"f","g",0,38,"-"
"99","b",25,12,"u","g","k","v",2.25,"t","t",2,"t","g",120,5,"-"
"100","b",27.83,4,"y","p","i","h",5.75,"t","t",2,"t","g",75,0,"-"
"101","b",54.83,15.5,"u","g","e","z",10.4754321074298,"t","t",20,"f","g",152,130,"-"
"102","b",28.75,1.165,"u","g","k","v",0.5,"t","f",0,"f","s",280,0,"-"
"103","a",25,11,"y","p","aa","v",4.5,"t","f",0,"f","g",120,0,"-"
"104","b",40.92,2.25,"y","p","x","h",10,"t","f",0,"t","g",176,0,"-"
"105","a",19.75,0.75,"u","g","c","v",0.0842270480360102,"t","t",5,"t","g",140,5,"-"
"106","b",29.17,3.5,"u","g","w","v",3.5,"t","t",3,"t","g",329,0,"-"
"107","a",24.5,1.04,"y","p","ff","ff",0.5,"t","t",3,"f","g",180,147,"-"
"108","b",24.58,12.5,"u","g","w","v",0.875,"t","f",0,"t","g",260,0,"-"
"109","a",33.75,0.75,"u","g","k","bb",1,"t","t",3,"t","g",212,0,"-"
"110","b",20.67,1.25,"y","p","c","h",1.375,"t","t",3,"t","g",140,210,"-"
"111","a",25.42,1.125,"u","g","q","v",1.29,"t","t",2,"f","g",200,0,"-"
"112","b",37.75,7,"u","g","q","h",11.5,"t","t",7,"t","g",300,5,"-"
"113","b",52.5,6.5,"u","g","k","v",6.29,"t","t",15,"f","g",0,11202,"+"
"114","b",57.83,7.04,"u","g","m","v",14,"t","t",6,"t","g",360,1332,"+"
"115","a",20.75,10.335,"u","g","cc","h",0.893007124072065,"t","t",1,"t","g",80,50,"+"
"116","b",39.92,6.21,"u","g","q","v",3.28074450600304,"t","t",1,"f","g",200,300,"+"
"117","b",25.67,12.5,"u","g","cc","v",1.21,"t","t",67,"t","g",140,258,"+"
"118","a",24.75,12.5,"u","g","aa","v",1.5,"t","t",12,"t","g",120,567,"+"
"119","a",44.17,6.665,"u","g","q","v",7.375,"t","t",3,"t","g",0,0,"+"
"120","a",23.5,9,"u","g","q","v",8.5,"t","t",5,"t","g",120,0,"+"
"121","b",34.92,5,"u","g","x","h",7.5,"t","t",6,"t","g",0,1000,"+"
"122","b",47.67,2.5,"u","g","m","bb",6.62342407454191,"t","t",12,"t","g",410,2510,"+"
"123","b",22.75,11,"u","g","q","v",2.5,"t","t",7,"t","g",100,809,"+"
"124","b",34.42,4.25,"u","g","i","bb",3.25,"t","t",2,"f","g",274,610,"+"
"125","a",28.42,3.5,"u","g","w","v",0.835,"t","f",0,"f","s",280,0,"+"
"126","b",67.75,5.5,"u","g","e","z",13,"t","t",1,"t","g",0,0,"+"
"127","b",20.42,1.835,"u","g","c","v",2.25,"t","t",1,"f","g",100,150,"+"
"128","a",47.42,8,"u","g","e","bb",6.5,"t","t",6,"f","g",375,51100,"+"
"129","b",36.25,5,"u","g","c","bb",2.5,"t","t",6,"f","g",0,367,"+"
"130","b",32.67,5.5,"u","g","q","h",5.5,"t","t",12,"t","g",408,1000,"+"
"131","b",48.58,6.5,"u","g","q","h",1.77889827354561,"t","f",0,"t","g",350,0,"+"
"132","b",39.92,0.54,"y","p","aa","v",0.5,"t","t",3,"f","g",200,1000,"+"
"133","b",33.58,2.75,"u","g","m","v",4.25,"t","t",6,"f","g",204,0,"+"
"134","a",18.83,9.5,"u","g","w","v",1.78419714558563,"t","t",6,"t","g",40,600,"+"
"135","a",26.92,13.5,"u","g","q","h",5,"t","t",2,"f","g",0,5000,"+"
"136","a",31.25,3.75,"u","g","cc","h",4.52963430381598,"t","t",9,"t","g",181,0,"+"
"137","a",56.5,16,"u","g","j","ff",0,"t","t",15,"f","g",0,247,"+"
"138","b",43,0.29,"y","p","cc","h",1.75,"t","t",8,"f","g",100,375,"+"
"139","b",22.33,11,"u","g","w","v",0.616874545258763,"t","t",1,"f","g",80,278,"+"
"140","b",27.25,1.665,"u","g","cc","h",5.085,"t","t",9,"f","g",399,827,"+"
"141","b",32.83,2.5,"u","g","cc","h",0.620433348849732,"t","t",6,"f","g",160,2072,"+"
"142","b",23.25,1.5,"u","g","q","v",0.318567496972288,"t","t",3,"t","g",0,582,"+"
"143","a",40.33,7.54,"y","p","q","h",8,"t","t",14,"f","g",0,2300,"+"
"144","a",30.5,6.5,"u","g","c","bb",4,"t","t",7,"t","g",0,3065,"+"
"145","a",52.83,15,"u","g","c","v",5.5,"t","t",14,"f","g",0,2200,"+"
"146","a",46.67,0.46,"u","g","cc","h",0.415,"t","t",11,"t","g",440,6,"+"
"147","a",58.33,10,"u","g","q","v",4,"t","t",14,"f","g",0,1602,"+"
"148","b",37.33,6.5,"u","g","m","h",4.25,"t","t",12,"t","g",93,0,"+"
"149","b",23.08,2.5,"u","g","c","v",1.085,"t","t",11,"t","g",60,2184,"+"
"150","b",32.75,1.5,"u","g","cc","h",5.5,"t","t",3,"t","g",0,0,"+"
"151","a",21.67,11.5,"y","p","j","j",0,"t","t",11,"t","g",0,0,"+"
"152","a",28.5,3.04,"y","p","x","h",2.54,"t","t",1,"f","g",70,0,"+"
"153","a",68.67,15,"u","g","e","z",0,"t","t",14,"f","g",0,3376,"+"
"154","b",28,2,"u","g","k","h",4.165,"t","t",2,"t","g",181,0,"+"
"155","b",34.08,0.08,"y","p","m","bb",0.04,"t","t",1,"t","g",280,2000,"+"
"156","b",27.67,2,"u","g","x","h",1,"t","t",4,"f","g",140,7544,"+"
"157","b",44,2,"u","g","m","v",1.75,"t","t",2,"t","g",0,15,"+"
"158","b",25.08,1.71,"u","g","x","v",1.665,"t","t",1,"t","g",395,20,"+"
"159","b",32,1.75,"y","p","e","h",0.04,"t","f",0,"t","g",393,0,"+"
"160","a",60.58,16.5,"u","g","q","v",11,"t","f",0,"t","g",21,10561,"+"
"161","a",40.83,10,"u","g","q","h",1.75,"t","f",0,"f","g",29,837,"+"
"162","b",19.33,9.5,"u","g","q","v",1,"t","f",0,"t","g",60,400,"+"
"163","a",32.33,0.54,"u","g","cc","v",0.04,"t","f",0,"f","g",440,11177,"+"
"164","b",36.67,3.25,"u","g","q","h",9,"t","f",0,"t","g",102,639,"+"
"165","b",37.5,1.125,"y","p","d","v",1.5,"f","f",0,"t","g",431,0,"+"
"166","a",25.08,2.54,"y","p","aa","v",0.25,"t","f",0,"t","g",370,0,"+"
"167","b",41.33,0,"u","g","c","bb",15,"t","f",0,"f","g",0,0,"+"
"168","b",56,12.5,"u","g","k","h",8,"t","f",0,"t","g",24,2028,"+"
"169","a",49.83,13.585,"u","g","k","h",8.5,"t","f",0,"t","g",0,0,"+"
"170","b",22.67,10.5,"u","g","q","h",1.335,"t","f",0,"f","g",100,0,"+"
"171","b",27,1.5,"y","p","w","v",0.375,"t","f",0,"t","g",260,1065,"+"
"172","b",25,12.5,"u","g","aa","v",2.23821716085484,"t","f",0,"t","s",20,0,"+"
"173","a",26.08,8.665,"u","g","aa","v",1.415,"t","f",0,"f","g",160,150,"+"
"174","a",18.42,9.25,"u","g","q","v",1.21,"t","t",4,"f","g",60,540,"+"
"175","b",20.17,8.17,"u","g","aa","v",5.2190283407298,"t","t",14,"f","g",60,158,"+"
"176","b",47.67,0.29,"u","g","c","bb",15,"t","t",20,"f","g",0,15000,"+"
"177","a",21.25,2.335,"u","g","i","bb",0.5,"t","t",4,"f","s",80,0,"+"
"178","a",20.67,3,"u","g","q","v",0.223322853941894,"t","t",3,"f","g",100,6,"+"
"179","a",57.08,19.5,"u","g","c","v",5.5,"t","t",7,"f","g",0,3000,"+"
"180","a",22.42,5.665,"u","g","q","v",2.585,"t","t",7,"f","g",129,3257,"+"
"181","b",48.75,8.5,"u","g","c","h",12.5,"t","t",9,"f","g",181,1655,"+"
"182","b",40,6.5,"u","g","aa","bb",3.96447565758535,"t","t",1,"f","g",0,500,"+"
"183","b",40.58,5,"u","g","c","v",2.6217921126995,"t","t",7,"f","g",0,3065,"+"
"184","a",28.67,1.04,"u","g","c","v",2.5,"t","t",5,"t","g",300,1430,"+"
"185","a",33.08,4.625,"u","g","q","h",1.625,"t","t",2,"f","g",0,0,"+"
"186","b",21.33,10.5,"u","g","c","v",3,"t","f",0,"t","g",0,0,"+"
"187","b",42,0.205,"u","g","i","h",1.69341461437449,"t","f",0,"f","g",400,0,"+"
"188","b",41.75,0.96,"u","g","x","v",2.5,"t","f",0,"f","g",510,600,"+"
"189","b",22.67,1.585,"y","p","w","v",3.085,"t","t",6,"f","g",80,0,"+"
"190","b",34.5,4.04,"y","p","i","bb",8.5,"t","t",7,"t","g",195,0,"+"
"191","b",28.25,5.04,"y","p","c","bb",1.5,"t","t",8,"t","g",144,7,"+"
"192","b",33.17,3.165,"y","p","x","v",3.165,"t","t",3,"t","g",380,0,"+"
"193","b",48.17,7.625,"u","g","w","h",4.19926877933083,"t","t",12,"f","g",0,790,"+"
"194","b",27.58,2.04,"y","p","aa","v",2.19613102535658,"t","t",3,"t","g",370,560,"+"
"195","b",22.58,10.04,"u","g","x","v",0.04,"t","t",9,"f","g",60,396,"+"
"196","a",24.08,0.5,"u","g","q","h",1.25,"t","t",1,"f","g",0,678,"+"
"197","a",41.33,1,"u","g","i","bb",2.25,"t","f",0,"t","g",0,300,"+"
"198","a",20.75,10.25,"u","g","q","v",0.71,"t","t",2,"t","g",49,0,"+"
"199","b",36.33,2.125,"y","p","w","v",0.085,"t","t",1,"f","g",50,1187,"+"
"200","a",35.42,12,"u","g","q","h",14,"t","t",8,"f","g",0,6590,"+"
"201","b",28.67,9.335,"u","g","q","h",5.665,"t","t",6,"f","g",381,168,"+"
"202","b",35.17,2.5,"u","g","k","v",2.51504986031444,"t","t",7,"f","g",150,1270,"+"
"203","b",39.5,4.25,"u","g","c","bb",6.5,"t","t",16,"f","g",117,1210,"+"
"204","b",39.33,5.875,"u","g","cc","h",10,"t","t",14,"t","g",399,0,"+"
"205","b",24.33,6.625,"y","p","d","v",5.5,"t","f",0,"t","s",100,0,"+"
"206","b",60.08,14.5,"u","g","ff","ff",8.61589810485931,"t","t",15,"t","g",0,1000,"+"
"207","b",23.08,11.5,"u","g","i","v",3.5,"t","t",9,"f","g",56,742,"+"
"208","b",26.67,2.71,"y","p","cc","v",5.25,"t","t",1,"f","g",211,0,"+"
"209","b",48.17,3.5,"u","g","aa","v",3.5,"t","f",0,"f","s",230,0,"+"
"210","b",41.17,4.04,"u","g","cc","h",3.63030321029277,"t","t",8,"f","g",320,0,"+"
"211","b",55.92,11.5,"u","g","ff","ff",5,"t","t",5,"f","g",0,8851,"+"
"212","b",53.92,9.625,"u","g","e","v",8.665,"t","t",5,"f","g",0,0,"+"
"213","a",18.92,9.25,"y","p","c","v",1.85698405747569,"t","t",4,"t","g",80,500,"+"
"214","a",50.08,12.54,"u","g","aa","v",2.29,"t","t",3,"t","g",156,0,"+"
"215","b",65.42,11,"u","g","e","z",6.80944494607167,"t","t",7,"t","g",22,0,"+"
"216","a",17.58,9,"u","g","aa","v",0.203093059548786,"t","f",0,"t","g",0,0,"+"
"217","a",18.83,9.54,"u","g","aa","v",2.53937693911744,"t","f",0,"f","g",100,0,"+"
"218","a",37.75,5.5,"u","g","q","v",0.125,"t","f",0,"t","g",228,0,"+"
"219","b",23.25,4,"u","g","c","bb",-0.18360286833217,"t","f",0,"t","g",160,0,"+"
"220","b",18.08,5.5,"u","g","k","v",0.5,"t","f",0,"f","g",80,0,"+"
"221","a",22.5,8.46,"y","p","x","v",0.775042735331074,"f","f",0,"f","g",164,0,"+"
"222","b",19.67,0.375,"u","g","q","v",2,"t","t",2,"t","g",80,0,"+"
"223","b",22.08,11,"u","g","cc","v",0.665,"t","f",0,"f","g",100,0,"+"
"224","b",25.17,3.5,"u","g","cc","v",0.625,"t","t",7,"f","g",0,7059,"+"
"225","a",47.42,3,"u","g","x","v",13.875,"t","t",2,"t","g",519,1704,"+"
"226","b",33.5,1.75,"u","g","x","h",4.5,"t","t",4,"t","g",253,857,"+"
"227","b",27.67,13.75,"u","g","w","v",0.354623311083418,"t","f",0,"t","g",487,500,"+"
"228","a",58.42,21,"u","g","i","bb",10,"t","t",13,"f","g",0,6700,"+"
"229","a",20.67,1.835,"u","g","q","v",-0.737588185346535,"t","t",5,"f","g",220,2503,"+"
"230","b",26.17,0.25,"u","g","i","bb",0,"t","f",0,"t","g",0,0,"+"
"231","b",21.33,7.5,"u","g","aa","v",1.415,"t","t",1,"f","g",80,9800,"+"
"232","b",42.83,4.625,"u","g","q","v",2.66050954702444,"t","f",0,"f","s",0,0,"+"
"233","b",38.17,10.125,"u","g","x","v",2.5,"t","t",6,"f","g",520,196,"+"
"234","b",20.5,10,"y","p","c","v",-0.334058305305323,"t","f",0,"f","s",40,0,"+"
"235","b",48.25,25.085,"u","g","w","v",1.75,"t","t",3,"f","g",120,14,"+"
"236","b",28.33,5,"u","g","w","v",11,"t","f",0,"t","g",70,0,"+"
"237","b",18.5,2,"u","g","i","v",1.5,"t","t",2,"f","g",120,300,"+"
"238","b",33.17,3.04,"y","p","c","h",2.04,"t","t",1,"t","g",180,18027,"+"
"239","b",45,8.5,"u","g","cc","h",14,"t","t",1,"t","g",88,2000,"+"
"240","a",19.67,0.21,"u","g","q","h",0.29,"t","t",11,"f","g",80,99,"+"
"241","b",21.83,11,"u","g","x","v",0.29,"t","t",6,"f","g",121,0,"+"
"242","b",40.25,21.5,"u","g","e","z",20,"t","t",11,"f","g",0,1200,"+"
"243","b",41.42,5,"u","g","q","h",5,"t","t",6,"t","g",470,0,"+"
"244","a",17.83,11,"u","g","x","h",1,"t","t",11,"f","g",0,3000,"+"
"245","b",23.17,11.125,"u","g","x","h",0.46,"t","t",1,"f","g",100,0,"+"
"246","b",18.17,10.25,"u","g","c","h",1.085,"f","f",0,"f","g",320,13,"-"
"247","b",20,11.045,"u","g","c","v",2,"f","f",0,"t","g",136,0,"-"
"248","b",20,0,"u","g","d","v",0.5,"f","f",0,"f","g",144,0,"-"
"249","a",20.75,9.54,"u","g","i","v",-1.97506833123184,"f","f",0,"f","g",200,1000,"-"
"250","a",24.5,1.75,"y","p","c","v",0.165,"f","f",0,"f","g",132,0,"-"
"251","b",32.75,2.335,"u","g","d","h",5.75,"f","f",0,"t","g",292,0,"-"
"252","a",52.17,0,"y","p","ff","ff",0,"f","f",0,"f","g",0,0,"-"
"253","a",48.17,1.335,"u","g","i","o",1.75386775695075,"f","f",0,"f","g",0,120,"-"
"254","a",20.42,10.5,"y","p","x","h",1.03564657545564,"f","f",0,"t","g",154,32,"-"
"255","b",50.75,0.585,"u","g","ff","ff",0,"f","f",0,"f","g",145,0,"-"
"256","b",17.08,0.085,"y","p","c","v",0.04,"f","f",0,"f","g",140,722,"-"
"257","b",18.33,1.21,"y","p","e","dd",0,"f","f",0,"f","g",100,0,"-"
"258","a",32,6,"u","g","d","v",1.25,"f","f",0,"f","g",272,0,"-"
"259","b",59.67,1.54,"u","g","q","v",0.125,"t","f",0,"t","g",260,0,"+"
"260","b",18,0.165,"u","g","q","n",0.21,"f","f",0,"f","g",200,40,"+"
"261","b",32.33,2.5,"u","g","c","v",1.25,"f","f",0,"t","g",280,0,"-"
"262","b",18.08,6.75,"y","p","m","v",0.04,"f","f",0,"f","g",140,0,"-"
"263","b",38.25,10.125,"y","p","k","v",0.125,"f","f",0,"f","g",160,0,"-"
"264","b",30.67,2.5,"u","g","cc","h",2.25,"f","f",0,"t","s",340,0,"-"
"265","b",18.58,5.71,"u","g","d","v",0.54,"f","f",0,"f","g",120,0,"-"
"266","a",19.17,5.415,"u","g","i","h",0.29,"f","f",0,"f","g",80,484,"-"
"267","a",18.17,10,"y","p","q","h",0.165,"f","f",0,"f","g",340,0,"-"
"268","b",16.25,0.835,"u","g","m","v",0.085,"t","f",0,"f","s",200,0,"-"
"269","b",21.17,0.875,"y","p","c","h",0.25,"f","f",0,"f","g",280,204,"-"
"270","b",23.92,0.585,"y","p","cc","h",2.67070624678005,"f","f",0,"f","g",240,1,"-"
"271","b",17.67,4.46,"u","g","c","v",-1.19080967054734,"f","f",0,"f","s",80,0,"-"
"272","a",16.5,1.25,"u","g","q","v",0.25,"f","t",1,"f","g",108,98,"-"
"273","b",23.25,12.625,"u","g","c","v",0.125,"f","t",2,"f","g",0,5552,"-"
"274","b",17.58,10,"u","g","w","h",0.165,"f","t",1,"f","g",120,1,"-"
"275","b",29.5,0.58,"u","g","w","v",0.29,"f","t",1,"f","g",340,2803,"-"
"276","b",18.83,0.415,"y","p","c","v",0.323949173940905,"f","t",1,"f","g",200,1,"-"
"277","a",21.75,1.75,"y","p","j","j",0,"f","f",0,"f","g",160,0,"-"
"278","b",23,0.75,"u","g","m","v",0.5,"f","f",0,"t","s",320,0,"-"
"279","a",18.25,10,"u","g","w","v",1,"f","t",1,"f","g",120,1,"-"
"280","b",25.42,0.54,"u","g","w","v",0.165,"f","t",1,"f","g",272,444,"-"
"281","b",35.75,2.415,"u","g","w","v",0.125,"f","t",2,"f","g",220,1,"-"
"282","a",16.08,0.335,"u","g","ff","ff",0,"f","t",1,"f","g",160,126,"-"
"283","a",31.92,3.125,"u","g","ff","ff",3.04,"f","t",2,"t","g",200,4,"-"
"284","b",69.17,9,"u","g","ff","ff",4,"f","t",1,"f","g",70,6,"-"
"285","b",32.92,2.5,"u","g","aa","v",1.75,"f","t",2,"t","g",720,0,"-"
"286","b",16.33,2.75,"u","g","aa","v",0.665,"f","t",1,"f","g",80,21,"-"
"287","b",22.17,12.125,"u","g","c","v",3.33433642249554,"f","t",2,"t","g",180,173,"-"
"288","a",57.58,2,"u","g","ff","ff",6.5,"f","t",1,"f","g",0,10,"-"
"289","b",18.25,0.165,"u","g","d","v",0.25,"f","f",0,"t","s",280,0,"-"
"290","b",23.42,1,"u","g","c","v",0.5,"f","f",0,"t","s",280,0,"-"
"291","a",15.92,2.875,"u","g","q","v",0.085,"f","f",0,"f","g",120,0,"-"
"292","a",24.75,13.665,"u","g","q","h",1.5,"f","f",0,"f","g",280,1,"-"
"293","b",48.75,26.335,"y","p","ff","ff",0,"t","f",0,"t","g",0,0,"-"
"294","b",23.5,2.75,"u","g","ff","ff",4.5,"f","f",0,"f","g",160,25,"-"
"295","b",18.58,10.29,"u","g","ff","ff",0.415,"f","f",0,"f","g",80,0,"-"
"296","b",27.75,1.29,"u","g","k","h",0.25,"f","f",0,"t","s",140,0,"-"
"297","a",31.75,3,"y","p","j","j",0,"f","f",0,"f","g",160,20,"-"
"298","a",24.83,4.5,"u","g","w","v",1.27850424260871,"f","f",0,"t","g",360,6,"-"
"299","b",19,1.75,"y","p","c","v",2.335,"f","f",0,"t","g",112,6,"-"
