"","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Type"
"113",3,1,1,1,1,2,4,1,1,2
"114",3,1,2,1,1,2,2,1,1,2
"115",3,1,2,1,1,2,3,1,1,2
"116",3,1,2,1,1,2,2,1,1,2
"117",3,1,2,2,1,2,2,1,1,2
"118",1,1,2,3,1,3,2,1,1,2
"119",1,1,2,2,1,3,2,1,1,2
"120",1,1,2,2,1,3,2,1,1,2
"121",3,1,2,1,1,2,3,1,1,2
"122",1,1,2,2,1,3,2,1,1,2
"123",1,1,2,2,1,2,2,1,1,2
"124",1,1,2,2,1,3,2,1,1,2
"125",3,1,2,1,1,2,3,1,1,2
"126",3,1,2,2,1,2,3,1,1,2
"127",1,1,2,1,1,2,3,1,1,2
"128",3,1,1,2,1,2,3,1,1,2
"129",3,1,1,2,1,2,3,1,1,2
"130",3,1,1,2,1,2,4,1,1,2
"131",3,1,1,1,1,2,4,1,1,2
"132",3,1,1,1,1,2,4,1,1,2
"133",3,1,2,1,1,2,2,1,1,2
"134",3,1,2,2,1,2,2,1,1,2
"135",3,1,2,1,1,2,2,1,1,2
"136",2,1,2,1,1,2,3,1,1,2
"137",3,1,2,1,1,2,3,1,1,2
"138",1,1,2,2,1,2,2,1,1,2
"139",1,1,2,2,1,3,2,1,1,2
"140",1,1,2,2,1,3,2,1,1,2
"141",1,1,2,2,1,3,2,1,1,2
"142",3,1,2,1,1,2,3,1,1,2
"143",1,1,2,2,1,3,2,1,1,2
"144",1,1,2,3,1,3,2,1,1,2
"145",1,1,2,1,1,2,3,1,1,2
"146",3,1,2,1,1,3,3,1,1,2
"147",2,1,2,1,1,2,3,1,1,3
"148",1,1,2,1,1,2,3,1,1,3
"149",1,1,2,1,1,2,3,1,1,3
"150",1,1,2,1,1,2,3,1,1,3
"151",1,1,2,2,1,2,3,1,1,3
"152",3,2,2,1,1,1,3,1,1,3
"153",2,1,2,1,1,2,3,1,1,3
"154",1,1,2,1,1,2,3,1,1,3
"155",1,1,2,1,1,2,3,1,1,3
"156",1,1,2,1,1,2,3,1,1,3
"157",1,1,2,1,1,2,3,1,1,3
"158",3,1,2,1,1,2,3,1,1,3
"159",2,1,2,2,1,2,3,1,1,3
"160",2,1,2,2,1,2,3,1,1,3
"161",3,1,2,2,1,2,3,1,1,3
"162",3,1,2,1,1,2,3,1,1,3
"163",3,2,2,1,1,2,3,1,1,3
"164",1,1,1,3,1,4,1,2,1,5
"165",3,1,1,3,1,2,4,1,1,5
"166",3,1,1,2,1,2,4,1,1,5
"167",3,1,1,2,1,2,4,1,1,5
"168",3,1,1,2,1,2,4,1,1,5
"169",1,1,1,3,1,4,4,1,1,5
"170",3,1,1,2,1,2,4,1,1,5
"171",3,1,1,2,1,2,4,1,1,5
"172",1,1,1,3,1,4,1,1,1,5
"173",1,1,1,3,1,4,1,1,1,5
"174",3,1,1,2,1,2,4,1,1,5
"175",3,1,1,3,1,4,3,1,1,5
"176",3,1,1,2,1,2,4,1,1,5
"177",3,1,1,2,1,1,3,1,1,6
"178",3,1,1,1,1,1,3,1,1,6
"179",3,2,1,2,1,1,3,1,1,6
"180",3,2,1,2,1,1,3,1,1,6
"181",1,2,1,2,1,1,2,1,1,6
"182",3,2,1,2,1,1,3,1,1,6
"183",3,2,1,3,1,1,4,1,1,6
"184",3,2,1,1,1,1,4,1,1,6
"185",1,2,1,1,1,1,1,1,1,6
"186",1,1,2,3,1,4,1,2,1,7
"187",3,2,2,3,1,4,1,2,1,7
"188",3,1,2,1,1,2,3,1,1,7
"189",3,2,1,3,1,4,3,1,1,7
"190",3,2,1,1,1,2,3,2,1,7
"191",1,1,1,3,1,1,3,2,1,7
"192",1,2,1,3,1,1,3,2,1,7
"193",1,2,1,3,1,1,3,2,1,7
"194",1,2,1,3,1,1,3,2,1,7
"195",1,2,1,3,1,1,3,2,1,7
"196",1,2,1,3,1,2,3,2,1,7
"197",1,1,1,3,1,2,3,2,1,7
"198",1,2,1,3,1,1,3,2,1,7
"199",1,2,1,3,1,1,3,2,1,7
"200",1,2,1,3,1,1,3,2,1,7
"201",1,2,1,3,1,1,3,2,1,7
"202",1,1,1,1,1,4,3,1,1,7
"203",1,2,1,3,1,1,3,2,1,7
"204",1,2,1,3,1,1,2,2,1,7
"205",1,2,1,3,1,1,3,2,1,7
"206",1,2,1,3,1,1,3,2,1,7
"207",1,2,1,3,1,1,3,2,1,7
"208",3,2,1,3,1,4,1,2,1,7
"209",1,2,1,3,1,1,3,2,1,7
"210",1,2,1,3,1,2,3,2,1,7
"211",1,2,1,3,1,1,3,2,1,7
"212",3,2,1,3,1,1,3,2,1,7
"213",1,2,1,3,1,1,3,2,1,7
"214",1,2,1,3,1,1,3,2,1,7
