"","Variance","Skewness","Kurtosis","Entropy","Class"
"560",5,5,2,1,0
"561",6,7,2,1,0
"562",3,5,2,1,0
"563",2,7,2,1,0
"564",6,7,2,1,0
"565",5,5,2,1,0
"566",4,6,2,1,0
"567",6,6,2,1,0
"568",6,6,2,1,0
"569",6,5,2,1,0
"570",5,2,2,1,0
"571",6,5,2,1,0
"572",5,3,2,1,0
"573",6,7,2,1,0
"574",6,6,2,1,0
"575",4,6,2,1,0
"576",6,6,2,1,0
"577",4,7,2,1,0
"578",6,4,2,1,0
"579",5,5,2,1,0
"580",4,6,2,1,0
"581",6,6,2,1,0
"582",2,7,2,1,0
"583",6,5,2,1,0
"584",5,2,2,1,0
"585",4,6,2,1,0
"586",6,3,2,1,0
"587",4,6,2,1,0
"588",4,6,2,1,0
"589",3,6,2,1,0
"590",4,6,2,1,0
"591",6,4,2,1,0
"592",4,3,2,1,0
"593",4,5,2,1,0
"594",2,5,2,1,0
"595",6,5,2,1,0
"596",6,6,2,1,0
"597",4,5,2,1,0
"598",6,7,1,1,0
"599",4,6,2,1,0
"600",6,4,2,1,0
"601",4,6,2,1,0
"602",6,5,2,1,0
"603",6,7,2,1,0
"604",6,5,2,1,0
"605",2,7,2,1,0
"606",4,6,2,1,0
"607",2,7,2,1,0
"608",6,7,1,1,0
"609",6,5,2,1,0
"610",6,6,2,1,0
"611",3,6,2,1,0
"612",6,6,2,1,0
"613",2,5,2,1,0
"614",6,5,2,1,0
"615",6,6,2,1,0
"616",3,6,2,1,0
"617",6,6,2,1,0
"618",3,6,2,1,0
"619",5,5,2,1,0
"620",4,6,2,1,0
"621",6,4,2,1,0
"622",6,5,2,1,0
"623",6,5,2,1,0
"624",6,6,2,1,0
"625",6,6,2,1,0
"626",6,4,2,1,0
"627",5,6,2,1,0
"628",5,5,2,1,0
"629",6,5,2,1,0
"630",6,3,2,1,0
"631",6,5,2,1,0
"632",5,5,2,1,0
"633",6,4,2,1,0
"634",6,4,2,1,0
"635",6,6,2,1,0
"636",5,4,2,1,0
"637",5,2,2,1,0
"638",6,6,2,1,0
"639",6,6,2,1,0
"640",6,4,2,1,0
"641",6,5,2,1,0
"642",4,6,2,1,0
"643",6,5,2,1,0
"644",4,6,2,1,0
"645",6,4,2,1,0
"646",6,6,2,1,0
"647",4,7,2,1,0
"648",6,5,2,1,0
"649",4,6,2,1,0
"650",3,5,2,1,0
"651",3,6,2,1,0
"652",6,4,2,1,0
"653",6,4,2,1,0
"654",6,4,2,1,0
"655",6,5,2,1,0
"656",6,7,2,1,0
"657",2,7,2,1,0
"658",3,6,2,1,0
"659",4,2,2,1,0
"660",5,5,2,1,0
"661",6,4,2,1,0
"662",3,6,2,1,0
"663",6,6,2,1,0
"664",6,4,2,1,0
"665",6,5,2,1,0
"666",5,6,2,1,0
"667",4,5,2,1,0
"668",3,5,2,1,0
"669",4,5,2,1,0
"670",6,5,2,1,0
"671",6,4,2,1,0
"672",4,4,2,1,0
"673",5,4,2,1,0
"674",2,7,2,1,0
"675",4,6,2,1,0
"676",3,6,2,1,0
"677",3,6,2,1,0
"678",3,6,2,1,0
"679",6,5,2,1,0
"680",4,6,2,1,0
"681",6,5,2,1,0
"682",5,4,2,1,0
"683",6,4,2,1,0
"684",6,4,2,1,0
"685",2,7,2,1,0
"686",6,6,2,1,0
"687",4,6,2,1,0
"688",2,6,2,1,0
"689",6,6,2,1,0
"690",6,4,2,1,0
"691",6,6,2,1,0
"692",4,5,2,1,0
"693",6,7,2,1,0
"694",4,6,2,1,0
"695",4,5,2,1,0
"696",4,7,2,1,0
"697",4,6,2,1,0
"698",6,6,2,1,0
"699",6,4,2,1,0
"700",6,7,2,1,0
"701",6,6,2,1,0
"702",6,7,2,1,0
"703",6,4,2,1,0
"704",4,5,2,1,0
"705",6,6,2,1,0
"706",6,4,2,1,0
"707",6,5,2,1,0
"708",6,4,2,1,0
"709",6,5,2,1,0
"710",6,5,2,1,0
"711",6,5,2,1,0
"712",4,4,2,1,0
"713",6,6,2,1,0
"714",6,7,2,1,0
"715",6,5,2,1,0
"716",6,6,2,1,0
"717",4,4,2,1,0
"718",6,6,2,1,0
"719",6,6,2,1,0
"720",4,5,2,1,0
"721",6,5,2,1,0
"722",2,5,2,1,0
"723",6,6,2,1,0
"724",4,6,2,1,0
"725",6,6,2,1,0
"726",6,4,2,1,0
"727",3,6,2,1,0
"728",2,7,2,1,0
"729",4,5,2,1,0
"730",2,5,2,1,0
"731",6,7,2,1,0
"732",4,6,2,1,0
"733",2,7,2,1,0
"734",6,4,2,1,0
"735",6,5,2,1,0
"736",6,6,2,1,0
"737",2,6,2,1,0
"738",6,6,2,1,0
"739",4,6,2,1,0
"740",5,2,2,1,0
"741",2,7,2,1,0
"742",6,4,2,1,0
"743",4,7,2,1,0
"744",6,5,2,1,0
"745",6,6,2,1,0
"746",4,5,2,1,0
"747",6,6,2,1,0
"748",3,6,2,1,0
"749",4,5,2,1,0
"750",4,5,2,1,0
"751",6,4,2,1,0
"752",5,6,2,1,0
"753",4,6,2,1,0
"754",6,3,2,1,0
"755",6,5,2,1,0
"756",6,5,2,1,0
"757",6,7,2,1,0
"758",6,5,2,1,0
"759",6,5,2,1,0
"760",3,6,2,1,0
"761",6,5,2,1,0
"762",5,5,2,1,0
"763",2,5,2,1,1
"764",4,5,2,1,1
"765",2,1,2,1,1
"766",1,1,3,1,1
"767",1,1,3,1,1
"768",2,5,2,1,1
"769",2,5,2,1,1
"770",2,5,2,1,1
"771",4,5,2,1,1
"772",2,2,2,1,1
"773",2,1,3,1,1
"774",2,2,2,1,1
"775",2,5,2,1,1
"776",3,5,2,1,1
"777",1,6,2,1,1
"778",2,5,2,1,1
"779",2,5,2,1,1
"780",2,1,3,1,1
"781",1,1,3,1,1
"782",2,2,2,1,1
"783",3,5,2,1,1
"784",4,5,1,1,1
"785",1,5,2,1,1
"786",2,5,2,1,1
"787",2,1,2,1,1
"788",2,1,3,1,1
"789",2,4,2,1,1
"790",4,5,2,1,1
"791",4,5,1,1,1
"792",1,6,2,1,1
"793",2,5,2,1,1
"794",2,3,2,1,1
"795",2,2,2,1,1
"796",4,5,2,1,1
"797",4,5,1,1,1
"798",4,5,1,1,1
"799",1,6,2,1,1
"800",1,5,2,1,1
"801",2,5,2,1,1
"802",2,5,2,1,1
"803",4,5,2,1,1
"804",4,5,2,1,1
"805",3,5,2,1,1
"806",1,5,2,1,1
"807",1,6,2,1,1
"808",1,5,2,1,1
"809",1,5,2,1,1
"810",2,5,2,1,1
"811",2,5,2,1,1
"812",2,5,2,1,1
"813",2,5,2,1,1
"814",2,5,2,1,1
"815",2,5,2,1,1
"816",1,2,3,1,1
"817",1,2,3,1,1
"818",2,5,2,1,1
"819",3,5,2,1,1
"820",2,3,2,1,1
"821",1,1,3,1,1
"822",1,1,3,1,1
"823",1,5,2,1,1
"824",2,5,2,1,1
"825",2,5,2,1,1
"826",2,1,2,1,1
"827",1,1,3,1,1
"828",1,1,3,1,1
"829",2,5,2,1,1
"830",2,5,2,1,1
"831",2,5,2,1,1
"832",3,5,2,1,1
"833",2,2,2,1,1
"834",1,1,3,1,1
"835",2,2,2,1,1
"836",2,5,2,1,1
"837",2,5,2,1,1
"838",1,6,2,1,1
"839",2,5,2,1,1
"840",2,5,2,1,1
"841",2,1,3,1,1
"842",1,1,3,1,1
"843",2,2,2,1,1
"844",2,5,2,1,1
"845",3,5,2,1,1
"846",1,5,2,1,1
"847",2,5,2,1,1
"848",2,1,2,1,1
"849",1,1,2,1,1
"850",2,4,2,1,1
"851",4,5,2,1,1
"852",4,5,1,1,1
"853",1,6,2,1,1
"854",1,5,2,1,1
"855",2,2,2,1,1
"856",2,2,2,1,1
"857",3,5,2,1,1
"858",4,5,1,1,1
"859",3,5,1,1,1
"860",1,6,2,1,1
"861",1,5,2,1,1
"862",2,5,2,1,1
"863",2,5,2,1,1
"864",3,5,2,1,1
"865",4,5,2,1,1
"866",2,5,2,1,1
"867",1,5,2,1,1
"868",1,6,2,1,1
"869",1,5,2,1,1
"870",1,5,2,1,1
"871",2,5,2,1,1
"872",2,5,2,1,1
"873",2,5,2,1,1
"874",2,5,2,1,1
"875",1,5,2,1,1
"876",2,5,2,1,1
"877",1,2,3,1,1
"878",1,3,3,1,1
"879",1,5,2,1,1
"880",2,5,2,1,1
"881",2,4,2,1,1
"882",1,1,3,1,1
"883",1,1,3,1,1
"884",1,5,2,1,1
"885",2,5,2,1,1
"886",3,5,2,1,1
"887",2,1,3,1,1
"888",1,1,3,1,1
"889",2,2,3,1,1
"890",2,5,2,1,1
"891",2,5,2,1,1
"892",2,5,2,1,1
"893",3,5,2,1,1
"894",2,1,2,1,1
"895",2,1,3,1,1
"896",2,3,2,1,1
"897",3,5,2,1,1
"898",3,5,2,1,1
"899",1,6,2,1,1
"900",2,5,2,1,1
"901",2,4,2,1,1
"902",2,1,3,1,1
"903",1,1,3,1,1
"904",2,2,2,1,1
"905",4,5,2,1,1
"906",4,5,2,1,1
"907",1,5,2,1,1
"908",2,5,2,1,1
"909",2,1,2,1,1
"910",2,1,2,1,1
"911",4,4,2,1,1
"912",5,5,2,1,1
"913",4,5,1,1,1
"914",1,6,2,1,1
"915",2,5,2,1,1
"916",2,2,2,1,1
"917",2,3,2,1,1
"918",4,5,2,1,1
"919",5,5,1,1,1
"920",4,5,1,1,1
"921",1,6,2,1,1
"922",1,5,2,1,1
"923",2,5,2,1,1
"924",4,5,2,1,1
"925",4,5,2,1,1
"926",4,5,2,1,1
"927",3,5,2,1,1
"928",1,5,2,1,1
"929",1,6,2,1,1
"930",1,5,2,1,1
"931",2,5,2,1,1
"932",2,5,2,1,1
"933",3,5,2,1,1
"934",3,5,2,1,1
"935",2,5,2,1,1
"936",2,5,2,1,1
"937",2,4,2,1,1
"938",1,1,3,1,1
"939",1,3,3,1,1
"940",2,5,2,1,1
"941",3,5,2,1,1
"942",2,2,3,1,1
"943",1,1,3,1,1
"944",1,1,3,1,1
"945",2,5,2,1,1
"946",2,5,2,1,1
"947",3,5,2,1,1
"948",2,2,2,1,1
"949",1,1,3,1,1
"950",1,1,3,1,1
"951",2,5,2,1,1
"952",2,5,2,1,1
"953",2,5,2,1,1
"954",3,5,2,1,1
"955",2,2,2,1,1
"956",2,1,3,1,1
"957",2,2,2,1,1
"958",2,5,2,1,1
"959",3,5,2,1,1
"960",1,6,2,1,1
"961",2,5,2,1,1
"962",2,5,2,1,1
"963",2,1,2,1,1
"964",1,1,3,1,1
"965",2,1,2,1,1
"966",3,5,2,1,1
"967",4,5,2,1,1
"968",1,5,2,1,1
"969",2,5,2,1,1
"970",2,2,2,1,1
"971",2,1,2,1,1
"972",3,4,2,1,1
"973",4,5,2,1,1
"974",4,5,1,1,1
"975",1,6,2,1,1
"976",1,5,2,1,1
"977",2,3,2,1,1
"978",2,2,2,1,1
"979",4,5,2,1,1
"980",4,5,1,1,1
"981",4,5,1,1,1
"982",1,6,2,1,1
"983",1,5,2,1,1
"984",2,5,2,1,1
"985",2,5,2,1,1
"986",4,5,2,1,1
"987",4,5,2,1,1
"988",2,5,2,1,1
"989",1,5,2,1,1
"990",1,6,2,1,1
"991",1,5,2,1,1
"992",1,5,2,1,1
"993",2,5,2,1,1
"994",2,5,2,1,1
"995",2,5,2,1,1
"996",2,5,2,1,1
"997",2,5,2,1,1
"998",2,5,2,1,1
"999",1,2,3,1,1
"1000",1,2,3,1,1
"1001",1,5,2,1,1
"1002",3,5,2,1,1
"1003",2,4,2,1,1
"1004",1,1,3,1,1
"1005",1,1,3,1,1
"1006",1,5,2,1,1
"1007",2,5,2,1,1
"1008",3,5,2,1,1
"1009",2,1,3,1,1
"1010",1,1,3,1,1
"1011",1,2,2,1,1
"1012",2,5,2,1,1
"1013",2,5,2,1,1
"1014",2,5,2,1,1
"1015",3,5,2,1,1
"1016",2,1,2,1,1
"1017",2,1,3,1,1
"1018",2,3,2,1,1
"1019",2,5,2,1,1
"1020",2,5,2,1,1
"1021",1,6,2,1,1
"1022",2,5,2,1,1
"1023",2,4,2,1,1
"1024",2,1,3,1,1
"1025",1,1,3,1,1
"1026",2,2,2,1,1
"1027",3,5,2,1,1
"1028",3,5,1,1,1
"1029",2,5,2,1,1
"1030",2,5,2,1,1
"1031",2,1,2,1,1
"1032",2,1,2,1,1
"1033",3,4,2,1,1
"1034",4,5,2,1,1
"1035",4,5,1,1,1
"1036",1,6,2,1,1
"1037",2,5,2,1,1
"1038",2,2,2,1,1
"1039",2,3,2,1,1
"1040",4,5,2,1,1
"1041",4,5,1,1,1
"1042",3,5,1,1,1
"1043",1,6,2,1,1
"1044",2,5,2,1,1
"1045",2,5,2,1,1
"1046",3,5,2,1,1
"1047",4,5,2,1,1
"1048",4,5,2,1,1
"1049",2,5,2,1,1
"1050",1,5,2,1,1
"1051",1,6,2,1,1
"1052",1,5,2,1,1
"1053",2,5,2,1,1
"1054",2,5,2,1,1
"1055",3,5,2,1,1
"1056",2,5,2,1,1
"1057",2,5,2,1,1
"1058",2,5,2,1,1
"1059",2,5,2,1,1
"1060",1,1,3,1,1
"1061",1,3,3,1,1
"1062",2,5,2,1,1
"1063",3,5,2,1,1
"1064",2,2,3,1,1
"1065",1,1,3,1,1
"1066",1,2,3,1,1
"1067",2,5,2,1,1
